"1","Design",1
"2","Créativité",1
"3","Illustration",1
"4","Adobe Suite",1
"5","Multicam",1
"6","Montage",1
"7","Production",1
"8","Effets spéciaux",1
"9","Serveur",1
"10","Base de données",1
"11","Backend",1
"12","Frontend",1
"13","Interface utilisateur",1
"14","PHP",1
"15","HTML",1
"16","CSS",1
"17","JavaScript",1
"18","Maquette",1
"19","Conception",1
"20","UX/UI",1
"21","Wireframe",1
"22","Modélisation",1
"23","Animation",1
"24","Rendu",1
"25","Autodesk Maya",1
"26","Blender",1
"27","Audio visuel",1
"28","Production studio",1
"29","Stratégie marketing",1
"30","SEO",1
"31","Médias sociaux",1
"32","Rédaction contenu",1
"33","Infographie",1
"34","Identité de marque",1
"35","Logo",1
"36","Branding",1
"37","Typographie",1
"38","PhpStorm",1
"39","InDesign",1
"40","Photoshop",1
"41","Illustrator",1
"42","Visual studio code",1
"43","After Effects",1
"44","Figma",1
"45","Adobe XD",1
"46","Coupe",1
"47","Rognage",1
"48","Fusion", 1
"49","Cinema 4D",1
"50","Sketchup",1
"51","Max/MSP",1
"52","Pure Data",1
"53","Processing",1
"54","OpenFrameworks",1
"55","TouchDesigner",1
"56","VDMX",1
"57","Resolume Arena",1
"58","Isadora",1
"59","Cycling '74",1
"60","Supercollider",1